SubCategory,Relaxed Execution Accuracy
s2,1.0
s1,0.9479166666666666
s8,0.9033942558746736
s6,0.8664695737866469
s3,0.8615439093484419
s11,0.8571428571428571
s20,0.8348082595870207
s4,0.8088705989940558
s9,0.7998423955870765
s17,0.7992565055762082
s16,0.7866004962779156
s7,0.7721739130434783
s13,0.7682067345340642
s12,0.7453580901856764
s15,0.7312941176470589
s19,0.7284226190476191
s21,0.7114978902953587
s0,0.6993318485523385
all,0.6908349197715529
s14,0.6881533101045296
s28,0.6552125800815376
s22,0.6296859169199595
s25,0.5572197367567918
s29,0.5483870967741935
s24,0.5483870967741935
s26,0.5289855072463768
s30,0.5
s5,0.4909090909090909
s32,0.49025720966484804
s27,0.486328125
s31,0.44871794871794873
s18,0.4305555555555556
s34,0.39473684210526316
s33,0.3939393939393939
