,tmp,cat,sub_cat,model,em_sum,em_mean,em_ci,ea_sum,ea_mean,ea_ci,rea_sum,rea_mean,rea_ci,et_sum,et_mean,et_ci,cc_sum,cc_mean,cc_ci,tokens_sum,tokens_mean,tokens_ci,count_sum,count_mean,count_ci
0,0.2,c1,s0,dail,271,0.65,"(60.67%, 68.38%)",250,0.6,"(55.57%, 63.48%)",292,0.7,"(65.81%, 73.23%)",8061627.0,19194.35,"(1186532.07%, 2652337.93%)",275,0.65,"(61.64%, 69.31%)",1800201,4286.19,"(408867.61%, 448370.97%)",420,1.0,"(100.00%, 100.00%)"
1,0.2,c1,s0,din,261,0.62,"(58.23%, 66.05%)",241,0.57,"(53.39%, 61.37%)",285,0.68,"(64.09%, 71.62%)",11503901.0,27390.24,"(1490479.15%, 3987568.95%)",261,0.62,"(58.23%, 66.05%)",6568748,15639.88,"(1497848.49%, 1630126.75%)",420,1.0,"(100.00%, 100.00%)"
2,0.2,c1,s1,dail,944,0.89,"(87.83%, 90.96%)",930,0.88,"(86.42%, 89.71%)",997,0.94,"(93.25%, 95.58%)",595227.0,563.66,"(51900.85%, 60831.53%)",989,0.94,"(92.42%, 94.89%)",2779473,2632.08,"(258591.57%, 267823.77%)",1056,1.0,"(100.00%, 100.00%)"
3,0.2,c1,s1,din,926,0.88,"(86.02%, 89.36%)",955,0.9,"(88.94%, 91.93%)",1001,0.95,"(93.66%, 95.92%)",582555.0,551.66,"(48994.81%, 61337.57%)",990,0.94,"(92.52%, 94.98%)",10507168,9949.97,"(987621.10%, 1002372.84%)",1056,1.0,"(100.00%, 100.00%)"
4,0.2,c1,s2,dail,42,0.78,"(68.36%, 87.20%)",45,0.83,"(74.89%, 91.78%)",51,0.94,"(89.25%, 99.64%)",35484.0,657.11,"(40722.35%, 90699.88%)",51,0.94,"(89.25%, 99.64%)",110879,2053.31,"(190941.58%, 219721.38%)",54,1.0,"(100.00%, 100.00%)"
5,0.2,c1,s2,din,45,0.83,"(74.89%, 91.78%)",50,0.93,"(86.66%, 98.53%)",54,1.0,"(100.00%, 100.00%)",22433.0,415.43,"(36337.77%, 46747.42%)",54,1.0,"(100.00%, 100.00%)",486688,9012.74,"(893560.45%, 908987.70%)",54,1.0,"(100.00%, 100.00%)"
6,0.2,c2,s3,dail,1166,0.91,"(89.93%, 92.54%)",1149,0.9,"(88.52%, 91.30%)",1243,0.97,"(96.51%, 98.01%)",668859.0,523.36,"(50117.13%, 54555.64%)",1268,0.99,"(98.81%, 99.62%)",2662275,2083.16,"(205469.09%, 211162.36%)",1278,1.0,"(100.00%, 100.00%)"
7,0.2,c2,s3,din,1190,0.93,"(91.95%, 94.28%)",1167,0.91,"(90.01%, 92.61%)",1229,0.96,"(95.28%, 97.05%)",592846.0,463.89,"(44593.60%, 48183.55%)",1271,0.99,"(99.11%, 99.79%)",11957554,9356.46,"(931793.98%, 939497.72%)",1278,1.0,"(100.00%, 100.00%)"
8,0.2,c2,s4,dail,2334,0.74,"(72.74%, 75.31%)",2350,0.75,"(73.25%, 75.81%)",2614,0.83,"(81.80%, 84.01%)",37695215.0,11955.35,"(886236.81%, 1504832.97%)",2702,0.86,"(84.67%, 86.73%)",10475623,3322.43,"(326130.20%, 338355.87%)",3153,1.0,"(100.00%, 100.00%)"
9,0.2,c2,s4,din,2300,0.73,"(71.64%, 74.25%)",2386,0.76,"(74.41%, 76.93%)",2613,0.83,"(81.77%, 83.98%)",40786247.0,12935.7,"(718411.39%, 1868727.65%)",2762,0.88,"(86.63%, 88.57%)",47670911,15119.22,"(1486070.36%, 1537774.30%)",3153,1.0,"(100.00%, 100.00%)"
10,0.2,c2,s5,dail,22,0.14,"(9.68%, 19.07%)",66,0.43,"(36.51%, 49.77%)",81,0.53,"(46.26%, 59.62%)",20354622.0,133036.75,"(8157268.63%, 18450080.39%)",71,0.46,"(39.73%, 53.08%)",991601,6481.05,"(603770.28%, 692440.18%)",153,1.0,"(100.00%, 100.00%)"
11,0.2,c2,s5,din,23,0.15,"(10.25%, 19.82%)",66,0.43,"(36.51%, 49.77%)",74,0.48,"(41.68%, 55.05%)",30081295.0,196609.77,"(6712794.75%, 32609159.50%)",76,0.5,"(42.98%, 56.36%)",3955119,25850.45,"(2431853.58%, 2738236.62%)",153,1.0,"(100.00%, 100.00%)"
