,tmp,itr,cat,em,ea,et,sem,rea,count,tokens
0,0.0,0,c1,0,1,0 days 00:00:00.000145,0,1,1,8375
1,0.0,0,c1,0,1,0 days 00:00:00.000202,0,1,1,8382
2,0.0,0,c2,1,1,0 days 00:00:00.000233,1,1,1,8493
3,0.0,0,c2,1,1,0 days 00:00:00.000137,1,1,1,8484
4,0.0,0,c3,1,1,0 days 00:00:00.000217,1,1,1,8499
5,0.0,0,c3,1,0,0 days 00:00:00.000140,1,0,1,8478
6,0.0,0,c5,0,1,0 days 00:00:00.000215,0,1,1,8509
7,0.0,0,c5,0,0,0 days 00:00:00.000126,0,0,1,8537
0,0.0,1,c1,0,1,0 days 00:00:00.000192,0,1,1,8375
1,0.0,1,c1,0,1,0 days 00:00:00.000115,0,1,1,8382
2,0.0,1,c2,1,1,0 days 00:00:00.000126,1,1,1,8493
3,0.0,1,c2,1,1,0 days 00:00:00.000154,1,1,1,8484
4,0.0,1,c3,1,1,0 days 00:00:00.000128,1,1,1,8499
5,0.0,1,c3,1,0,0 days 00:00:00.000129,1,0,1,8478
6,0.0,1,c5,0,1,0 days 00:00:00.000222,0,1,1,8509
7,0.0,1,c5,0,0,0 days 00:00:00.000119,0,0,1,8537
0,0.0,2,c1,0,1,0 days 00:00:00.000279,0,1,1,8375
1,0.0,2,c1,0,1,0 days 00:00:00.000119,0,1,1,8382
2,0.0,2,c2,1,1,0 days 00:00:00.000142,1,1,1,8493
3,0.0,2,c2,1,1,0 days 00:00:00.000146,1,1,1,8484
4,0.0,2,c3,1,1,0 days 00:00:00.000126,1,1,1,8499
5,0.0,2,c3,1,0,0 days 00:00:00.000141,1,0,1,8478
6,0.0,2,c5,0,1,0 days 00:00:00.000205,0,1,1,8509
7,0.0,2,c5,0,0,0 days 00:00:00.000125,0,0,1,8537
