idx,tmp,itr,cat,em,ea,sem,rea,count,tokens
0,0.0,0,all,0.5,0.75,0.5,0.75,8,67757
1,0.0,0,c1,0.0,1.0,0.0,1.0,2,16757
2,0.0,0,c2,1.0,1.0,1.0,1.0,2,16977
3,0.0,0,c3,1.0,0.5,1.0,0.5,2,16977
4,0.0,0,c5,0.0,0.5,0.0,0.5,2,17046
5,0.0,1,all,0.5,0.75,0.5,0.75,8,67757
6,0.0,1,c1,0.0,1.0,0.0,1.0,2,16757
7,0.0,1,c2,1.0,1.0,1.0,1.0,2,16977
8,0.0,1,c3,1.0,0.5,1.0,0.5,2,16977
9,0.0,1,c5,0.0,0.5,0.0,0.5,2,17046
10,0.0,2,all,0.5,0.75,0.5,0.75,8,67757
11,0.0,2,c1,0.0,1.0,0.0,1.0,2,16757
12,0.0,2,c2,1.0,1.0,1.0,1.0,2,16977
13,0.0,2,c3,1.0,0.5,1.0,0.5,2,16977
14,0.0,2,c5,0.0,0.5,0.0,0.5,2,17046
